Code;end date;Group/Investment;ISIN;Perf Y1;Perf Y3;Perf Y5;Vol Y1;Vol Y3;Vol Y5
EUCA000511;04/07/2022;EAA Fund Europe Large-Cap Blend Equity;;-10.56%;2.75%;2.62%;18.08%;19.28%;16.12%
EUCA000621;04/07/2022;EAA Fund GBP Allocation 0-20% Equity;;-7.82%;-0.40%;0.85%;3.74%;4.00%;3.38%
EUCA000640;04/07/2022;EAA Fund Italy Equity;;-13.89%;1.77%;2.30%;22.63%;23.86%;20.68%
EUCA000915;04/07/2022;EAA Fund Japan Flex-Cap Equity;;-6.69%;5.50%;3.54%;19.69%;19.74%;18.64%
EUCA000812;04/07/2022;EAA Fund Multistrategy EUR;;-3.68%;0.00%;-0.12%;2.41%;4.40%;3.80%
EUCA001010;04/07/2022;EAA Fund Multistrategy USD;;-0.99%;3.13%;3.50%;3.28%;5.16%;4.74%
EUCA000528;04/07/2022;EAA Fund US Large-Cap Value Equity;;-7.26%;6.14%;6.64%;16.50%;22.50%;19.01%
EUCA000853;04/07/2022;EAA Fund US Mid-Cap Equity;;-20.31%;5.53%;7.03%;23.06%;26.94%;22.51%
EUCA000691;04/07/2022;EAA Fund USD Corporate Bond;;-14.38%;-1.53%;0.75%;7.24%;7.22%;5.83%
EUCA000746;04/07/2022;EAA Fund USD Flexible Allocation;;-12.54%;0.70%;1.79%;8.61%;9.33%;7.96%
EUCA000583;04/07/2022;EAA Fund USD High Yield Bond;;-12.92%;-0.81%;1.03%;5.53%;7.55%;6.12%
FOUSA08SQ4;04/07/2022;FTSE Italia AllShare PR EUR;;-17.21%;-1.47%;0.14%;27.68%;29.72%;25.74%
FOUSA08IE9;04/07/2022;ICE BofA EUR Overnight OR TR EUR;;-0.58%;-0.52%;-0.46%;0.03%;0.02%;0.02%
FOUSA05UOK;04/07/2022;ICE BofA Euro Corporate TR EUR;;-11.77%;-3.16%;-0.93%;4.97%;4.21%;3.48%
FOUSA08BV1;04/07/2022;ICE BofA Euro Subod Fin TR EUR;;-11.80%;-2.33%;0.11%;4.49%;5.06%;4.30%
F000016NOS;04/07/2022;ICE BofA SONIA Overnight Bid TR GBP;;0.37%;0.30%;0.34%;0.04%;0.03%;0.03%
XIUSA04CX8;04/07/2022;ICE BofA US 3M Trsy Bill TR USD;;0.19%;0.63%;1.11%;0.09%;0.12%;0.13%
XIUSA04EPI;04/07/2022;ICE BofA US High Yield TR USD;;-12.46%;0.08%;1.99%;6.77%;8.90%;7.24%
FOUSA07WOV;04/07/2022;MSCI Europe NR EUR;;-6.99%;3.74%;3.92%;21.24%;24.09%;20.43%
FOUSA09G33;04/07/2022;MSCI US Small Cap Growth NR USD;;-28.17%;5.40%;7.48%;34.50%;35.91%;30.69%
XIUSA04FKR;04/07/2022;MSCI USA Value NR USD;;-4.68%;5.88%;6.73%;19.41%;27.95%;23.55%
XIUSA04G92;04/07/2022;S&P 500 TR USD;;-10.17%;10.56%;11.49%;23.88%;29.08%;24.92%
FOUSA06GBU;04/07/2022;TOPIX TR JPY;;-2.75%;7.74%;5.45%;21.64%;22.26%;20.79%
F0GBR05TBZ;27/06/2022;iMGP European Corporate Bds C EUR;LU0167813129;-13.76%;-3.91%;-2.13%;3.97%;4.78%;3.91%
F000002OH8;27/06/2022;iMGP Euro Fixed Income I EUR;LU0335770102;-13.27%;-2.76%;-0.75%;4.09%;3.92%;3.34%
F00000JPT5;27/06/2022;iMGP Italian Opportunities I EUR;LU0536296873;-14.80%;3.29%;1.65%;27.52%;27.51%;23.95%
F00000NCCS;27/06/2022;iMGP US High Yield I USD;LU0688633840;-14.62%;-1.28%;1.20%;6.63%;8.83%;7.19%
F00000OU30;27/06/2022;iMGP US Value R USD;LU0821216842;-2.93%;6.70%;6.80%;18.47%;22.41%;18.59%
F00000Q0N6;27/06/2022;iMGP Sustainable Europe I EUR;LU0933606302;-11.23%;7.09%;2.88%;24.82%;23.61%;20.34%
F00000Q0P3;27/06/2022;iMGP Japan Opportunities I JPY;LU0933609314;2.97%;6.35%;3.64%;19.35%;20.85%;19.27%
F00000Q0P4;27/06/2022;iMGP US Small&Mid Company Gr I USD;LU0933609405;-42.62%;-3.62%;1.93%;44.16%;38.33%;31.47%
F00000Q0NX;27/06/2022;iMGP Mlt-Asst Abs Ret EUR I EUR;LU0933611138;-11.98%;-1.15%;-0.34%;3.87%;4.40%;3.79%
F00000QHZ0;27/06/2022;iMGP US Core Plus I M USD;LU0970691233;-9.49%;-0.34%;0.84%;4.16%;4.21%;3.48%
F00000UQH8;27/06/2022;iMGP Absolute Return GBP I M GBP;LU1130232017;-11.19%;-0.15%;0.36%;3.88%;3.73%;3.25%
F00000XJ7Z;27/06/2022;iMGP Eurp Subordinated Bds I EUR;LU1457568043;-11.39%;-0.19%;0.74%;3.64%;7.62%;6.45%
F00000ZSS8;27/06/2022;iMGP Stable Return I USD;LU1726319590;1.38%;2.37%;;8.05%;7.81%;6.81%
F000013DXH;27/06/2022;iMGP Global Diversified Inc I USD;LU1965317180;-17.46%;;;9.42%;9.13%;9.13%
F000014359;27/06/2022;iMGP BM Alternativos I EUR;LU2041049300;-3.21%;;;3.84%;5.50%;5.51%
XIUSA00108;27/06/2022;Bloomberg Euro Agg Bond TR EUR;;-12.97%;-3.90%;-1.17%;6.73%;5.20%;4.35%
XIUSA000MH;27/06/2022;Bloomberg US Interm Credit TR USD;;-9.16%;-0.23%;1.29%;4.74%;4.50%;3.78%
EUCA000564;27/06/2022;EAA Fund EUR Cautious Allocation - Global;;-8.51%;-0.89%;-0.47%;3.53%;3.91%;3.29%
EUCA000690;27/06/2022;EAA Fund EUR Corporate Bond;;-12.60%;-3.57%;-1.41%;3.61%;3.45%;2.81%
EUCA000587;27/06/2022;EAA Fund EUR Diversified Bond;;-10.87%;-3.35%;-1.52%;3.09%;2.82%;2.29%
EUCA000922;27/06/2022;EAA Fund EUR Subordinated Bond;;-12.56%;-1.58%;0.18%;3.30%;5.75%;4.71%
EUCA000511;27/06/2022;EAA Fund Europe Large-Cap Blend Equity;;-9.38%;3.71%;2.71%;17.85%;19.21%;16.11%
EUCA000621;27/06/2022;EAA Fund GBP Allocation 0-20% Equity;;-8.05%;-0.22%;0.65%;3.71%;4.01%;3.38%
EUCA000640;27/06/2022;EAA Fund Italy Equity;;-10.91%;3.94%;2.78%;22.39%;23.80%;20.68%
EUCA000915;27/06/2022;EAA Fund Japan Flex-Cap Equity;;-5.51%;6.86%;3.58%;19.51%;19.72%;18.60%
EUCA000812;27/06/2022;EAA Fund Multistrategy EUR;;-3.24%;0.41%;-0.16%;2.41%;4.41%;3.80%
EUCA001010;27/06/2022;EAA Fund Multistrategy USD;;-0.38%;3.65%;3.33%;3.30%;5.16%;4.75%
EUCA000528;27/06/2022;EAA Fund US Large-Cap Value Equity;;-6.34%;6.87%;7.15%;16.45%;22.47%;18.99%
EUCA000853;27/06/2022;EAA Fund US Mid-Cap Equity;;-20.59%;6.01%;7.73%;23.02%;26.94%;22.48%
EUCA000691;27/06/2022;EAA Fund USD Corporate Bond;;-14.38%;-1.72%;0.47%;7.22%;7.22%;5.82%
EUCA000746;27/06/2022;EAA Fund USD Flexible Allocation;;-12.00%;1.12%;1.95%;8.59%;9.33%;7.95%
EUCA000583;27/06/2022;EAA Fund USD High Yield Bond;;-12.42%;-0.66%;1.39%;5.50%;7.54%;6.09%
FOUSA08SQ4;27/06/2022;FTSE Italia AllShare PR EUR;;-14.13%;1.02%;0.84%;27.35%;29.66%;25.74%
FOUSA08IE9;27/06/2022;ICE BofA EUR Overnight OR TR EUR;;-0.58%;-0.52%;-0.46%;0.03%;0.02%;0.02%
FOUSA05UOK;27/06/2022;ICE BofA Euro Corporate TR EUR;;-12.92%;-3.58%;-1.07%;4.82%;4.12%;3.43%
FOUSA08BV1;27/06/2022;ICE BofA Euro Subod Fin TR EUR;;-12.39%;-2.38%;0.01%;4.42%;5.04%;4.29%
F000016NOS;27/06/2022;ICE BofA SONIA Overnight Bid TR GBP;;0.35%;0.30%;0.34%;0.04%;0.03%;0.03%
XIUSA04CX8;27/06/2022;ICE BofA US 3M Trsy Bill TR USD;;0.17%;0.63%;1.11%;0.09%;0.12%;0.13%
XIUSA04EPI;27/06/2022;ICE BofA US High Yield TR USD;;-12.20%;0.11%;2.38%;6.75%;8.89%;7.21%
FOUSA07WOV;27/06/2022;MSCI Europe NR EUR;;-5.84%;4.69%;3.96%;21.03%;24.02%;20.43%
FOUSA09G33;27/06/2022;MSCI US Small Cap Growth NR USD;;-29.81%;5.38%;8.35%;34.43%;35.89%;30.67%
XIUSA04FKR;27/06/2022;MSCI USA Value NR USD;;-4.01%;6.52%;7.14%;19.36%;27.94%;23.54%
XIUSA04G92;27/06/2022;S&P 500 TR USD;;-9.72%;10.92%;12.01%;23.85%;29.08%;24.89%
FOUSA06GBU;27/06/2022;TOPIX TR JPY;;-0.51%;9.42%;5.52%;21.44%;22.24%;20.75%
F0GBR05TBZ;20/06/2022;iMGP European Corporate Bds C EUR;LU0167813129;-13.49%;-3.77%;-2.26%;3.88%;4.75%;3.90%
F000002OH8;20/06/2022;iMGP Euro Fixed Income I EUR;LU0335770102;-13.42%;-2.74%;-0.96%;4.01%;3.89%;3.33%
F00000JPT5;20/06/2022;iMGP Italian Opportunities I EUR;LU0536296873;-15.07%;2.88%;1.60%;27.48%;27.47%;23.93%
F00000NCCS;20/06/2022;iMGP US High Yield I USD;LU0688633840;-13.30%;-0.86%;1.20%;6.52%;8.79%;7.19%
F00000OU30;20/06/2022;iMGP US Value R USD;LU0821216842;-4.59%;5.70%;5.59%;17.96%;22.25%;18.48%
F00000Q0N6;20/06/2022;iMGP Sustainable Europe I EUR;LU0933606302;-9.86%;7.36%;2.80%;24.74%;23.58%;20.33%
F00000Q0P3;20/06/2022;iMGP Japan Opportunities I JPY;LU0933609314;0.29%;5.96%;3.01%;19.32%;20.84%;19.24%
F00000Q0P4;20/06/2022;iMGP US Small&Mid Company Gr I USD;LU0933609405;-41.77%;-4.27%;0.16%;42.70%;37.74%;31.11%
F00000Q0NX;20/06/2022;iMGP Mlt-Asst Abs Ret EUR I EUR;LU0933611138;-11.72%;-1.09%;-0.47%;3.88%;4.39%;3.79%
F00000QHZ0;20/06/2022;iMGP US Core Plus I M USD;LU0970691233;-9.47%;-0.31%;0.76%;4.15%;4.20%;3.48%
F00000UQH8;20/06/2022;iMGP Absolute Return GBP I M GBP;LU1130232017;-10.82%;-0.08%;0.20%;3.89%;3.72%;3.25%
F00000XJ7Z;20/06/2022;iMGP Eurp Subordinated Bds I EUR;LU1457568043;-10.51%;0.15%;0.79%;3.62%;7.61%;6.45%
F00000ZSS8;20/06/2022;iMGP Stable Return I USD;LU1726319590;1.32%;2.25%;;8.06%;7.81%;6.81%
F000013DXH;20/06/2022;iMGP Global Diversified Inc I USD;LU1965317180;-17.08%;;;9.41%;9.14%;9.15%
F000014359;20/06/2022;iMGP BM Alternativos I EUR;LU2041049300;-3.24%;;;3.84%;5.52%;5.51%
XIUSA00108;20/06/2022;Bloomberg Euro Agg Bond TR EUR;;-13.61%;-4.02%;-1.51%;6.42%;5.07%;4.27%
XIUSA000MH;20/06/2022;Bloomberg US Interm Credit TR USD;;-9.25%;-0.16%;1.23%;4.71%;4.50%;3.77%
EUCA000564;20/06/2022;EAA Fund EUR Cautious Allocation - Global;;-8.70%;-1.08%;-0.69%;3.48%;3.90%;3.28%
EUCA000690;20/06/2022;EAA Fund EUR Corporate Bond;;-12.56%;-3.53%;-1.58%;3.50%;3.41%;2.78%
EUCA000587;20/06/2022;EAA Fund EUR Diversified Bond;;-11.10%;-3.40%;-1.71%;2.98%;2.78%;2.26%
EUCA000922;20/06/2022;EAA Fund EUR Subordinated Bond;;-11.45%;-1.20%;0.24%;3.25%;5.74%;4.71%
EUCA000511;20/06/2022;EAA Fund Europe Large-Cap Blend Equity;;-10.70%;3.09%;2.09%;17.72%;19.16%;16.08%
EUCA000621;20/06/2022;EAA Fund GBP Allocation 0-20% Equity;;-8.41%;-0.48%;0.45%;3.65%;3.99%;3.37%
EUCA000640;20/06/2022;EAA Fund Italy Equity;;-11.19%;3.75%;2.66%;22.34%;23.78%;20.67%
EUCA000915;20/06/2022;EAA Fund Japan Flex-Cap Equity;;-8.54%;5.90%;2.80%;19.33%;19.67%;18.52%
EUCA000812;20/06/2022;EAA Fund Multistrategy EUR;;-3.02%;0.31%;-0.23%;2.41%;4.41%;3.80%
EUCA001010;20/06/2022;EAA Fund Multistrategy USD;;0.04%;3.55%;3.38%;3.30%;5.17%;4.75%
EUCA000528;20/06/2022;EAA Fund US Large-Cap Value Equity;;-7.21%;6.28%;6.11%;16.14%;22.40%;18.92%
EUCA000853;20/06/2022;EAA Fund US Mid-Cap Equity;;-21.08%;5.35%;6.42%;22.59%;26.84%;22.40%
EUCA000691;20/06/2022;EAA Fund USD Corporate Bond;;-14.24%;-1.53%;0.50%;7.20%;7.22%;5.80%
EUCA000746;20/06/2022;EAA Fund USD Flexible Allocation;;-11.99%;0.89%;1.58%;8.47%;9.29%;7.92%
EUCA000583;20/06/2022;EAA Fund USD High Yield Bond;;-11.52%;-0.45%;1.28%;5.38%;7.51%;6.08%
FOUSA08SQ4;20/06/2022;FTSE Italia AllShare PR EUR;;-14.26%;0.71%;0.85%;27.23%;29.60%;25.72%
FOUSA08IE9;20/06/2022;ICE BofA EUR Overnight OR TR EUR;;-0.58%;-0.52%;-0.46%;0.03%;0.02%;0.02%
FOUSA05UOK;20/06/2022;ICE BofA Euro Corporate TR EUR;;-13.07%;-3.59%;-1.31%;4.62%;4.05%;3.38%
FOUSA08BV1;20/06/2022;ICE BofA Euro Subod Fin TR EUR;;-12.49%;-2.37%;-0.16%;4.32%;5.01%;4.27%
F000016NOS;20/06/2022;ICE BofA SONIA Overnight Bid TR GBP;;0.32%;0.29%;0.33%;0.04%;0.03%;0.03%
XIUSA04CX8;20/06/2022;ICE BofA US 3M Trsy Bill TR USD;;0.16%;0.64%;1.11%;0.09%;0.12%;0.13%
XIUSA04EPI;20/06/2022;ICE BofA US High Yield TR USD;;-11.12%;0.36%;2.25%;6.58%;8.85%;7.19%
FOUSA07WOV;20/06/2022;MSCI Europe NR EUR;;-7.73%;3.99%;3.39%;20.80%;23.94%;20.37%
FOUSA09G33;20/06/2022;MSCI US Small Cap Growth NR USD;;-30.15%;4.93%;6.93%;34.02%;35.80%;30.61%
XIUSA04FKR;20/06/2022;MSCI USA Value NR USD;;-5.20%;5.91%;5.86%;19.10%;27.88%;23.47%
XIUSA04G92;20/06/2022;S&P 500 TR USD;;-10.16%;10.23%;10.53%;23.42%;28.97%;24.81%
FOUSA06GBU;20/06/2022;TOPIX TR JPY;;-3.19%;8.75%;4.76%;21.37%;22.23%;20.71%
F0GBR05TBZ;13/06/2022;iMGP European Corporate Bds C EUR;LU0167813129;-13.33%;-3.37%;-1.95%;3.80%;4.75%;3.87%
F000002OH8;13/06/2022;iMGP Euro Fixed Income I EUR;LU0335770102;-13.70%;-2.44%;-0.80%;3.95%;3.91%;3.31%
F00000JPT5;13/06/2022;iMGP Italian Opportunities I EUR;LU0536296873;-13.43%;4.73%;1.48%;27.21%;27.39%;23.85%
F00000NCCS;13/06/2022;iMGP US High Yield I USD;LU0688633840;-12.21%;-0.11%;1.31%;6.42%;8.77%;7.17%
F00000OU30;13/06/2022;iMGP US Value R USD;LU0821216842;-4.70%;6.66%;5.97%;17.75%;22.16%;18.43%
F00000Q0N6;13/06/2022;iMGP Sustainable Europe I EUR;LU0933606302;-7.48%;9.25%;3.40%;24.37%;23.44%;20.22%
F00000Q0P3;13/06/2022;iMGP Japan Opportunities I JPY;LU0933609314;-0.55%;5.77%;4.03%;19.77%;20.80%;19.20%
F00000Q0P4;13/06/2022;iMGP US Small&Mid Company Gr I USD;LU0933609405;-39.09%;-3.38%;0.26%;42.01%;37.46%;30.88%
F00000Q0NX;13/06/2022;iMGP Mlt-Asst Abs Ret EUR I EUR;LU0933611138;-12.19%;-0.87%;-0.43%;3.88%;4.41%;3.78%
F00000QHZ0;13/06/2022;iMGP US Core Plus I M USD;LU0970691233;-9.78%;-0.17%;0.79%;4.12%;4.21%;3.47%
F00000UQH8;13/06/2022;iMGP Absolute Return GBP I M GBP;LU1130232017;-11.02%;0.20%;0.32%;3.87%;3.72%;3.24%
F00000XJ7Z;13/06/2022;iMGP Eurp Subordinated Bds I EUR;LU1457568043;-9.99%;0.94%;1.27%;3.55%;7.63%;6.43%
F00000ZSS8;13/06/2022;iMGP Stable Return I USD;LU1726319590;0.59%;2.03%;;8.10%;7.77%;6.79%
F000013DXH;13/06/2022;iMGP Global Diversified Inc I USD;LU1965317180;-18.15%;;;9.47%;9.16%;9.16%
F000014359;13/06/2022;iMGP BM Alternativos I EUR;LU2041049300;-2.55%;;;3.77%;5.52%;5.49%
XIUSA00108;13/06/2022;Bloomberg Euro Agg Bond TR EUR;;-14.08%;-3.96%;-1.42%;6.24%;5.04%;4.21%
XIUSA000MH;13/06/2022;Bloomberg US Interm Credit TR USD;;-9.66%;-0.10%;1.17%;4.69%;4.49%;3.74%
EUCA000564;13/06/2022;EAA Fund EUR Cautious Allocation - Global;;-8.40%;-0.70%;-0.40%;3.44%;3.89%;3.26%
EUCA000690;13/06/2022;EAA Fund EUR Corporate Bond;;-12.46%;-3.21%;-1.33%;3.43%;3.40%;2.75%
EUCA000587;13/06/2022;EAA Fund EUR Diversified Bond;;-11.28%;-3.22%;-1.55%;2.94%;2.77%;2.23%
EUCA000922;13/06/2022;EAA Fund EUR Subordinated Bond;;-10.87%;-0.52%;0.73%;3.20%;5.74%;4.69%
EUCA000511;13/06/2022;EAA Fund Europe Large-Cap Blend Equity;;-9.67%;4.21%;2.50%;17.59%;19.12%;16.03%
EUCA000621;13/06/2022;EAA Fund GBP Allocation 0-20% Equity;;-7.96%;-0.05%;0.77%;3.63%;3.98%;3.34%
EUCA000640;13/06/2022;EAA Fund Italy Equity;;-10.42%;5.31%;2.52%;22.19%;23.74%;20.60%
EUCA000915;13/06/2022;EAA Fund Japan Flex-Cap Equity;;-8.51%;6.15%;3.94%;19.47%;19.63%;18.50%
EUCA000812;13/06/2022;EAA Fund Multistrategy EUR;;-2.81%;0.68%;-0.02%;2.40%;4.41%;3.80%
EUCA001010;13/06/2022;EAA Fund Multistrategy USD;;-0.01%;4.04%;3.59%;3.35%;5.18%;4.75%
EUCA000528;13/06/2022;EAA Fund US Large-Cap Value Equity;;-7.61%;7.44%;6.68%;16.03%;22.32%;18.88%
EUCA000853;13/06/2022;EAA Fund US Mid-Cap Equity;;-19.40%;6.78%;6.92%;22.24%;26.71%;22.30%
EUCA000691;13/06/2022;EAA Fund USD Corporate Bond;;-14.44%;-1.41%;0.45%;7.16%;7.21%;5.78%
EUCA000746;13/06/2022;EAA Fund USD Flexible Allocation;;-12.07%;1.53%;1.85%;8.41%;9.28%;7.90%
EUCA000583;13/06/2022;EAA Fund USD High Yield Bond;;-11.00%;0.12%;1.39%;5.30%;7.49%;6.05%
FOUSA08SQ4;13/06/2022;FTSE Italia AllShare PR EUR;;-13.07%;2.86%;0.55%;26.99%;29.54%;25.62%
FOUSA08IE9;13/06/2022;ICE BofA EUR Overnight OR TR EUR;;-0.58%;-0.52%;-0.46%;0.03%;0.02%;0.02%
FOUSA05UOK;13/06/2022;ICE BofA Euro Corporate TR EUR;;-13.09%;-3.31%;-1.11%;4.51%;4.03%;3.35%
FOUSA08BV1;13/06/2022;ICE BofA Euro Subod Fin TR EUR;;-12.32%;-1.90%;0.10%;4.22%;5.01%;4.24%
F000016NOS;13/06/2022;ICE BofA SONIA Overnight Bid TR GBP;;0.30%;0.29%;0.33%;0.03%;0.03%;0.03%
XIUSA04CX8;13/06/2022;ICE BofA US 3M Trsy Bill TR USD;;0.09%;0.63%;1.11%;0.08%;0.12%;0.13%
XIUSA04EPI;13/06/2022;ICE BofA US High Yield TR USD;;-10.34%;1.03%;2.30%;6.41%;8.82%;7.15%
FOUSA07WOV;13/06/2022;MSCI Europe NR EUR;;-6.57%;5.19%;3.69%;20.59%;23.90%;20.32%
FOUSA09G33;13/06/2022;MSCI US Small Cap Growth NR USD;;-28.72%;6.46%;7.03%;33.46%;35.63%;30.48%
XIUSA04FKR;13/06/2022;MSCI USA Value NR USD;;-5.89%;6.85%;6.53%;18.88%;27.79%;23.42%
XIUSA04G92;13/06/2022;S&P 500 TR USD;;-9.45%;11.33%;10.94%;22.99%;28.83%;24.73%
FOUSA06GBU;13/06/2022;TOPIX TR JPY;;-3.80%;8.79%;6.01%;21.67%;22.19%;20.66%
F0GBR05TBZ;06/06/2022;iMGP European Corporate Bds C EUR;LU0167813129;-10.50%;-2.37%;-1.32%;3.26%;4.60%;3.77%
F000002OH8;06/06/2022;iMGP Euro Fixed Income I EUR;LU0335770102;-11.55%;-1.60%;-0.18%;3.58%;3.78%;3.22%
F00000JPT5;06/06/2022;iMGP Italian Opportunities I EUR;LU0536296873;-6.38%;7.95%;3.69%;26.11%;27.04%;23.64%
F00000NCCS;06/06/2022;iMGP US High Yield I USD;LU0688633840;-8.76%;1.09%;2.15%;5.66%;8.59%;7.03%
F00000OU30;06/06/2022;iMGP US Value R USD;LU0821216842;1.21%;9.06%;7.46%;17.08%;22.00%;18.28%
F00000Q0N6;06/06/2022;iMGP Sustainable Europe I EUR;LU0933606302;-0.79%;11.73%;4.96%;23.78%;23.24%;20.11%
F00000Q0P3;06/06/2022;iMGP Japan Opportunities I JPY;LU0933609314;3.49%;7.68%;3.86%;19.59%;20.79%;19.18%
F00000Q0P4;06/06/2022;iMGP US Small&Mid Company Gr I USD;LU0933609405;-31.01%;0.39%;2.56%;41.11%;37.09%;30.61%
F00000Q0NX;06/06/2022;iMGP Mlt-Asst Abs Ret EUR I EUR;LU0933611138;-10.27%;-0.11%;0.04%;3.55%;4.31%;3.72%
F00000QHZ0;06/06/2022;iMGP US Core Plus I M USD;LU0970691233;-7.42%;0.72%;1.35%;3.52%;4.02%;3.34%
F00000UQH8;06/06/2022;iMGP Absolute Return GBP I M GBP;LU1130232017;-9.29%;0.88%;0.73%;3.65%;3.64%;3.19%
F00000XJ7Z;06/06/2022;iMGP Eurp Subordinated Bds I EUR;LU1457568043;-7.36%;1.98%;1.70%;3.19%;7.58%;6.40%
F00000ZSS8;06/06/2022;iMGP Stable Return I USD;LU1726319590;1.62%;2.26%;;8.07%;7.77%;6.79%
F000013DXH;06/06/2022;iMGP Global Diversified Inc I USD;LU1965317180;-14.81%;;;9.11%;9.05%;9.06%
F000014359;06/06/2022;iMGP BM Alternativos I EUR;LU2041049300;-1.67%;;;3.63%;5.50%;5.50%
XIUSA00108;06/06/2022;Bloomberg Euro Agg Bond TR EUR;;-11.73%;-3.10%;-0.81%;5.81%;4.86%;4.12%
XIUSA000MH;06/06/2022;Bloomberg US Interm Credit TR USD;;-7.85%;0.55%;1.59%;4.22%;4.33%;3.65%
EUCA000564;06/06/2022;EAA Fund EUR Cautious Allocation - Global;;-5.55%;0.34%;0.06%;3.02%;3.77%;3.19%
EUCA000690;06/06/2022;EAA Fund EUR Corporate Bond;;-9.79%;-2.22%;-0.81%;2.94%;3.23%;2.64%
EUCA000587;06/06/2022;EAA Fund EUR Diversified Bond;;-8.98%;-2.41%;-1.07%;2.54%;2.62%;2.15%
EUCA000922;06/06/2022;EAA Fund EUR Subordinated Bond;;-7.89%;0.59%;1.17%;2.84%;5.67%;4.66%
EUCA000511;06/06/2022;EAA Fund Europe Large-Cap Blend Equity;;-2.78%;6.60%;3.78%;17.00%;18.95%;15.93%
EUCA000621;06/06/2022;EAA Fund GBP Allocation 0-20% Equity;;-5.12%;0.94%;1.21%;3.30%;3.88%;3.29%
EUCA000640;06/06/2022;EAA Fund Italy Equity;;-3.11%;8.39%;4.65%;21.06%;23.39%;20.40%
EUCA000915;06/06/2022;EAA Fund Japan Flex-Cap Equity;;-2.33%;8.56%;4.54%;19.10%;19.53%;18.42%
EUCA000812;06/06/2022;EAA Fund Multistrategy EUR;;-1.90%;1.12%;0.09%;2.35%;4.40%;3.79%
EUCA001010;06/06/2022;EAA Fund Multistrategy USD;;0.63%;4.51%;3.61%;3.32%;5.17%;4.75%
EUCA000528;06/06/2022;EAA Fund US Large-Cap Value Equity;;-0.07%;10.63%;8.69%;14.99%;22.07%;18.70%
EUCA000853;06/06/2022;EAA Fund US Mid-Cap Equity;;-11.63%;10.27%;9.17%;21.14%;26.39%;22.07%
EUCA000691;06/06/2022;EAA Fund USD Corporate Bond;;-11.70%;-0.40%;1.05%;6.68%;7.03%;5.67%
EUCA000746;06/06/2022;EAA Fund USD Flexible Allocation;;-7.62%;3.26%;2.68%;7.81%;9.09%;7.78%
