share_class,end_date,start_date,performance,volatility,duration,is_green,asset_type
LU0335770102 - iMGP Euro Fixed Income I EUR,2022-04-30,2010-01-09,0.028589823945241566,0.033833410119305886,4494 days,False,bonds
LU0167813129 - iMGP European Corporate Bds C EUR,2022-04-30,2010-01-09,0.023905949203284482,0.04250397972000672,4494 days,False,bonds
LU0418546858 - iMGP Global Convertibles C EUR,2022-04-30,2010-01-16,0.014804538238476939,0.06757720574846676,4487 days,False,bonds
LU1457568043 - iMGP Eurp Subordinated Bds I EUR,2022-04-30,2010-01-16,0.012145681131483954,0.07426079140460555,4487 days,False,bonds
LU0335769435 - iMGP Global Diversified Inc I EUR HP,2022-04-30,2010-01-16,0.0311898057700688,0.07029268365685,4487 days,False,mixed
LU0821216842 - iMGP US Value R USD,2022-04-30,2010-01-16,0.059659219689423004,0.13967772780870905,4487 days,False,equity
LU0933611138 - iMGP Mlt-Asst Abs Ret EUR I EUR,2022-04-30,2010-01-16,0.004449013153586812,0.036781636060508084,4487 days,False,mixed
LU0933606302 - iMGP Sustainable Europe I EUR,2022-04-30,2010-01-16,0.04520606522637194,0.1682842147136961,4487 days,True,equity
LU0167813129 - iMGP European Corporate Bds C EUR,2022-04-30,2010-01-16,0.02270545864560547,0.0423339263937875,4487 days,False,bonds
LU0335770102 - iMGP Euro Fixed Income I EUR,2022-04-30,2010-01-16,0.028301289078343173,0.03384540072799301,4487 days,False,bonds
LU0995828042 - iMGP Europe I EUR,2022-04-30,2010-01-16,0.014320739821501949,0.166078625674909,4487 days,False,equity
LU0688633840 - iMGP US High Yield I USD,2022-04-30,2010-01-16,0.03957072207680601,0.06922107014077866,4487 days,False,bonds
LU2041049300 - iMGP BM Alternativos I EUR,2022-04-30,2010-01-16,0.0053290991285812606,0.04418679238918893,4487 days,False,fund_of_funds
LU0970691233 - iMGP US Core Plus I M USD,2022-04-30,2010-01-16,0.012835250026824507,0.03577194649379299,4487 days,False,bonds
LU1726319590 - iMGP Stable Return I USD,2022-04-30,2010-01-16,0.006981342582821126,0.05860216867964061,4487 days,False,alternative
LU1130232017 - iMGP Absolute Return GBP I M GBP,2022-04-30,2010-01-16,0.02664528452772008,0.028472941511717906,4487 days,False,mixed
LU0536296873 - iMGP Italian Opportunities I EUR,2022-04-30,2010-01-16,0.0484667260786138,0.20592397663014067,4487 days,False,equity
LU0933609314 - iMGP Japan Opportunities I JPY,2022-04-30,2010-01-16,0.023964786381277747,0.19407889498332467,4487 days,False,equity
LU0933609405 - iMGP US Small&Mid Company Gr I USD,2022-04-30,2010-01-16,0.04700102832784059,0.20914368273588158,4487 days,False,equity
LU0970691233 - iMGP US Core Plus I M USD,2022-04-30,2010-01-23,0.012855401977177383,0.03577194649379299,4480 days,False,bonds
LU0933611138 - iMGP Mlt-Asst Abs Ret EUR I EUR,2022-04-30,2010-01-23,0.0044559693326939875,0.036781636060508084,4480 days,False,mixed
LU1457568043 - iMGP Eurp Subordinated Bds I EUR,2022-04-30,2010-01-23,0.012164743936737832,0.07426079140460555,4480 days,False,bonds
LU0933606302 - iMGP Sustainable Europe I EUR,2022-04-30,2010-01-23,0.045278162566452895,0.1682842147136961,4480 days,True,equity
LU0995828042 - iMGP Europe I EUR,2022-04-30,2010-01-23,0.014343240532219248,0.166078625674909,4480 days,False,equity
LU1130232017 - iMGP Absolute Return GBP I M GBP,2022-04-30,2010-01-23,0.026653444256170555,0.028495126670106553,4480 days,False,mixed
LU0688633840 - iMGP US High Yield I USD,2022-04-30,2010-01-23,0.039633662384224166,0.06922107014077866,4480 days,False,bonds
LU0933609405 - iMGP US Small&Mid Company Gr I USD,2022-04-30,2010-01-23,0.04707605233743184,0.20914368273588158,4480 days,False,equity
LU0821216842 - iMGP US Value R USD,2022-04-30,2010-01-23,0.059755018809236615,0.13967772780870905,4480 days,False,equity
LU0418546858 - iMGP Global Convertibles C EUR,2022-04-30,2010-01-23,0.01495859327062865,0.06762769631742648,4480 days,False,bonds
LU0536296873 - iMGP Italian Opportunities I EUR,2022-04-30,2010-01-23,0.04854414346054847,0.20592397663014067,4480 days,False,equity
LU0335769435 - iMGP Global Diversified Inc I EUR HP,2022-04-30,2010-01-23,0.03150683720175951,0.07033901232748065,4480 days,False,mixed
LU0335770102 - iMGP Euro Fixed Income I EUR,2022-04-30,2010-01-23,0.028168848584329664,0.033868801176928275,4480 days,False,bonds
LU1726319590 - iMGP Stable Return I USD,2022-04-30,2010-01-23,0.006992271902102498,0.05860216867964061,4480 days,False,alternative
LU2041049300 - iMGP BM Alternativos I EUR,2022-04-30,2010-01-23,0.005337435003422097,0.04418679238918893,4480 days,False,fund_of_funds
LU0167813129 - iMGP European Corporate Bds C EUR,2022-04-30,2010-01-23,0.022489778275432082,0.04236051737080362,4480 days,False,bonds
LU0933609314 - iMGP Japan Opportunities I JPY,2022-04-30,2010-01-23,0.024002618086524707,0.19407889498332467,4480 days,False,equity
LU0335769435 - iMGP Global Diversified Inc I EUR HP,2022-04-30,2010-01-30,0.03265899652342541,0.07028534793711162,4473 days,False,mixed
LU1457568043 - iMGP Eurp Subordinated Bds I EUR,2022-04-30,2010-01-30,0.012183866673972421,0.07426079140460555,4473 days,False,bonds
LU2041049300 - iMGP BM Alternativos I EUR,2022-04-30,2010-01-30,0.0053457969973145225,0.04418679238918893,4473 days,False,fund_of_funds
LU0933606302 - iMGP Sustainable Europe I EUR,2022-04-30,2010-01-30,0.045350490207265226,0.1682842147136961,4473 days,True,equity
LU0536296873 - iMGP Italian Opportunities I EUR,2022-04-30,2010-01-30,0.04862180851502185,0.20592397663014067,4473 days,False,equity
LU0995828042 - iMGP Europe I EUR,2022-04-30,2010-01-30,0.014365812059133676,0.166078625674909,4473 days,False,equity
LU0933609405 - iMGP US Small&Mid Company Gr I USD,2022-04-30,2010-01-30,0.04715131619820756,0.20914368273588158,4473 days,False,equity
LU0933609314 - iMGP Japan Opportunities I JPY,2022-04-30,2010-01-30,0.024040569420150426,0.19407889498332467,4473 days,False,equity
LU0167813129 - iMGP European Corporate Bds C EUR,2022-04-30,2010-01-30,0.022743580296884947,0.042384559398577264,4473 days,False,bonds
LU0418546858 - iMGP Global Convertibles C EUR,2022-04-30,2010-01-30,0.016291281868735297,0.06752509372621236,4473 days,False,bonds
LU1130232017 - iMGP Absolute Return GBP I M GBP,2022-04-30,2010-01-30,0.027008972998248337,0.028491446960605578,4473 days,False,mixed
LU1726319590 - iMGP Stable Return I USD,2022-04-30,2010-01-30,0.007003235494684956,0.05860216867964061,4473 days,False,alternative
LU0970691233 - iMGP US Core Plus I M USD,2022-04-30,2010-01-30,0.012875617305211362,0.03577194649379299,4473 days,False,bonds
LU0688633840 - iMGP US High Yield I USD,2022-04-30,2010-01-30,0.03969680320867508,0.06922107014077866,4473 days,False,bonds
LU0335770102 - iMGP Euro Fixed Income I EUR,2022-04-30,2010-01-30,0.028186850122967178,0.0338951891830636,4473 days,False,bonds
LU0821216842 - iMGP US Value R USD,2022-04-30,2010-01-30,0.05985112600271614,0.13967772780870905,4473 days,False,equity
LU0933611138 - iMGP Mlt-Asst Abs Ret EUR I EUR,2022-04-30,2010-01-30,0.004462947298261355,0.036781636060508084,4473 days,False,mixed
LU0167813129 - iMGP European Corporate Bds C EUR,2022-04-30,2010-02-06,0.02294816647889486,0.0424118332809279,4466 days,False,bonds
LU1726319590 - iMGP Stable Return I USD,2022-04-30,2010-02-06,0.007014233522038227,0.05860216867964061,4466 days,False,alternative
LU1130232017 - iMGP Absolute Return GBP I M GBP,2022-04-30,2010-02-06,0.027253958172357873,0.02850140934520509,4466 days,False,mixed
LU0995828042 - iMGP Europe I EUR,2022-04-30,2010-02-06,0.014388454737084722,0.166078625674909,4466 days,False,equity
LU0933606302 - iMGP Sustainable Europe I EUR,2022-04-30,2010-02-06,0.04542304925387608,0.1682842147136961,4466 days,True,equity
LU0688633840 - iMGP US High Yield I USD,2022-04-30,2010-02-06,0.03976014550978979,0.06922107014077866,4466 days,False,bonds
LU0335769435 - iMGP Global Diversified Inc I EUR HP,2022-04-30,2010-02-06,0.03324618350418951,0.07031182227675689,4466 days,False,mixed
LU0536296873 - iMGP Italian Opportunities I EUR,2022-04-30,2010-02-06,0.04869972243224918,0.20592397663014067,4466 days,False,equity
LU0933611138 - iMGP Mlt-Asst Abs Ret EUR I EUR,2022-04-30,2010-02-06,0.0044699471528000245,0.036781636060508084,4466 days,False,mixed
LU0821216842 - iMGP US Value R USD,2022-04-30,2010-02-06,0.0599475427579268,0.13967772780870905,4466 days,False,equity
LU1457568043 - iMGP Eurp Subordinated Bds I EUR,2022-04-30,2010-02-06,0.012203049626261953,0.07426079140460555,4466 days,False,bonds
LU0418546858 - iMGP Global Convertibles C EUR,2022-04-30,2010-02-06,0.017217307300216866,0.0675025295690479,4466 days,False,bonds
LU0933609405 - iMGP US Small&Mid Company Gr I USD,2022-04-30,2010-02-06,0.04722682106201703,0.20914368273588158,4466 days,False,equity
LU2041049300 - iMGP BM Alternativos I EUR,2022-04-30,2010-02-06,0.005354185233210407,0.04418679238918893,4466 days,False,fund_of_funds
LU0933609314 - iMGP Japan Opportunities I JPY,2022-04-30,2010-02-06,0.02407864095044676,0.19407889498332467,4466 days,False,equity
LU0335770102 - iMGP Euro Fixed Income I EUR,2022-04-30,2010-02-06,0.028236149276793077,0.03392126777004867,4466 days,False,bonds
LU0970691233 - iMGP US Core Plus I M USD,2022-04-30,2010-02-06,0.012895896310376465,0.03577194649379299,4466 days,False,bonds
LU0970691233 - iMGP US Core Plus I M USD,2022-04-30,2010-02-13,0.012916239294012088,0.03577194649379299,4459 days,False,bonds
LU0167813129 - iMGP European Corporate Bds C EUR,2022-04-30,2010-02-13,0.023077577411598327,0.04244269099448751,4459 days,False,bonds
LU1726319590 - iMGP Stable Return I USD,2022-04-30,2010-02-13,0.00702526614664678,0.05860216867964061,4459 days,False,alternative
LU0933611138 - iMGP Mlt-Asst Abs Ret EUR I EUR,2022-04-30,2010-02-13,0.004476968999466591,0.036781636060508084,4459 days,False,mixed
LU0933609405 - iMGP US Small&Mid Company Gr I USD,2022-04-30,2010-02-13,0.0473025680880963,0.20914368273588158,4459 days,False,equity
LU0995828042 - iMGP Europe I EUR,2022-04-30,2010-02-13,0.01441116890302685,0.166078625674909,4459 days,False,equity
LU0335770102 - iMGP Euro Fixed Income I EUR,2022-04-30,2010-02-13,0.028108746650162386,0.03394509567478531,4459 days,False,bonds
LU0688633840 - iMGP US High Yield I USD,2022-04-30,2010-02-13,0.03982369025333177,0.06922107014077866,4459 days,False,bonds
LU0933606302 - iMGP Sustainable Europe I EUR,2022-04-30,2010-02-13,0.045495840818432054,0.1682842147136961,4459 days,True,equity
LU0335769435 - iMGP Global Diversified Inc I EUR HP,2022-04-30,2010-02-13,0.033818994723322504,0.07033984930727707,4459 days,False,mixed
LU1457568043 - iMGP Eurp Subordinated Bds I EUR,2022-04-30,2010-02-13,0.012222293078465674,0.07426079140460555,4459 days,False,bonds
LU0821216842 - iMGP US Value R USD,2022-04-30,2010-02-13,0.060044270572530145,0.13967772780870905,4459 days,False,equity
LU2041049300 - iMGP BM Alternativos I EUR,2022-04-30,2010-02-13,0.005362599834834336,0.04418679238918893,4459 days,False,fund_of_funds
LU0536296873 - iMGP Italian Opportunities I EUR,2022-04-30,2010-02-13,0.048777886410083626,0.20592397663014067,4459 days,False,equity
LU0933609314 - iMGP Japan Opportunities I JPY,2022-04-30,2010-02-13,0.024116833249309355,0.19407889498332467,4459 days,False,equity
LU1130232017 - iMGP Absolute Return GBP I M GBP,2022-04-30,2010-02-13,0.02749523160569267,0.028511811771878247,4459 days,False,mixed
LU0418546858 - iMGP Global Convertibles C EUR,2022-04-30,2010-02-13,0.017688065469863457,0.06753573104362484,4459 days,False,bonds
LU0688633840 - iMGP US High Yield I USD,2022-04-30,2010-02-20,0.039887438411246645,0.06922107014077866,4452 days,False,bonds
LU0335770102 - iMGP Euro Fixed Income I EUR,2022-04-30,2010-02-20,0.02804754834520007,0.03397110808814742,4452 days,False,bonds
LU0418546858 - iMGP Global Convertibles C EUR,2022-04-30,2010-02-20,0.017271828955153223,0.06757371112340348,4452 days,False,bonds
LU0536296873 - iMGP Italian Opportunities I EUR,2022-04-30,2010-02-20,0.04885630165407617,0.20592397663014067,4452 days,False,equity
LU0821216842 - iMGP US Value R USD,2022-04-30,2010-02-20,0.06014131095386155,0.13967772780870905,4452 days,False,equity
LU0933611138 - iMGP Mlt-Asst Abs Ret EUR I EUR,2022-04-30,2010-02-20,0.004484012942065574,0.036781636060508084,4452 days,False,mixed
LU0167813129 - iMGP European Corporate Bds C EUR,2022-04-30,2010-02-20,0.023148133416065253,0.042475276797689594,4452 days,False,bonds
LU0995828042 - iMGP Europe I EUR,2022-04-30,2010-02-20,0.014433954896044376,0.166078625674909,4452 days,False,equity
LU1130232017 - iMGP Absolute Return GBP I M GBP,2022-04-30,2010-02-20,0.027448828538348957,0.02853375589085022,4452 days,False,mixed
LU0335769435 - iMGP Global Diversified Inc I EUR HP,2022-04-30,2010-02-20,0.03338259849870928,0.07037968904316516,4452 days,False,mixed
LU0933606302 - iMGP Sustainable Europe I EUR,2022-04-30,2010-02-20,0.04556886602021715,0.1682842147136961,4452 days,True,equity
LU0933609405 - iMGP US Small&Mid Company Gr I USD,2022-04-30,2010-02-20,0.04737855844312655,0.20914368273588158,4452 days,False,equity
LU1457568043 - iMGP Eurp Subordinated Bds I EUR,2022-04-30,2010-02-20,0.012241597317242503,0.07426079140460555,4452 days,False,bonds
LU2041049300 - iMGP BM Alternativos I EUR,2022-04-30,2010-02-20,0.005371040926690052,0.04418679238918893,4452 days,False,fund_of_funds
LU0933609314 - iMGP Japan Opportunities I JPY,2022-04-30,2010-02-20,0.02415514689226872,0.19407889498332467,4452 days,False,equity
LU0970691233 - iMGP US Core Plus I M USD,2022-04-30,2010-02-20,0.01293664655936233,0.03577194649379299,4452 days,False,bonds
LU1726319590 - iMGP Stable Return I USD,2022-04-30,2010-02-20,0.007036333532020045,0.05860216867964061,4452 days,False,alternative
LU1130232017 - iMGP Absolute Return GBP I M GBP,2022-04-30,2010-02-27,0.027122538669650753,0.028534513071448657,4445 days,False,mixed
LU2041049300 - iMGP BM Alternativos I EUR,2022-04-30,2010-02-27,0.005379508634066665,0.04418679238918893,4445 days,False,fund_of_funds
LU0688633840 - iMGP US High Yield I USD,2022-04-30,2010-02-27,0.03995139096171041,0.06922107014077866,4445 days,False,bonds
LU0418546858 - iMGP Global Convertibles C EUR,2022-04-30,2010-02-27,0.01663208353361867,0.0675910745751861,4445 days,False,bonds
LU0335769435 - iMGP Global Diversified Inc I EUR HP,2022-04-30,2010-02-27,0.032435607604747174,0.07036157185528201,4445 days,False,mixed
LU0933606302 - iMGP Sustainable Europe I EUR,2022-04-30,2010-02-27,0.0456421259857096,0.1682842147136961,4445 days,True,equity
LU0970691233 - iMGP US Core Plus I M USD,2022-04-30,2010-02-27,0.012957118411590418,0.03577194649379299,4445 days,False,bonds
LU0933609405 - iMGP US Small&Mid Company Gr I USD,2022-04-30,2010-02-27,0.047454793301293874,0.20914368273588158,4445 days,False,equity
LU0536296873 - iMGP Italian Opportunities I EUR,2022-04-30,2010-02-27,0.048934969377538495,0.20592397663014067,4445 days,False,equity
LU0933611138 - iMGP Mlt-Asst Abs Ret EUR I EUR,2022-04-30,2010-02-27,0.004491079085056748,0.036781636060508084,4445 days,False,mixed
LU0335770102 - iMGP Euro Fixed Income I EUR,2022-04-30,2010-02-27,0.028085396433167098,0.03399754788182731,4445 days,False,bonds
LU0933609314 - iMGP Japan Opportunities I JPY,2022-04-30,2010-02-27,0.024193582458517326,0.19407889498332467,4445 days,False,equity
LU0995828042 - iMGP Europe I EUR,2022-04-30,2010-02-27,0.014456813057370344,0.166078625674909,4445 days,False,equity
LU0821216842 - iMGP US Value R USD,2022-04-30,2010-02-27,0.0602386654190088,0.13967772780870905,4445 days,False,equity
LU1726319590 - iMGP Stable Return I USD,2022-04-30,2010-02-27,0.007047435842698846,0.05860216867964061,4445 days,False,alternative
LU1457568043 - iMGP Eurp Subordinated Bds I EUR,2022-04-30,2010-02-27,0.012260962631064798,0.07426079140460555,4445 days,False,bonds
LU0167813129 - iMGP European Corporate Bds C EUR,2022-04-30,2010-02-27,0.023240175956959153,0.04250745300295095,4445 days,False,bonds
LU0335770102 - iMGP Euro Fixed Income I EUR,2022-04-30,2010-03-06,0.027737752905368396,0.03400374648789063,4438 days,False,bonds
LU0688633840 - iMGP US High Yield I USD,2022-04-30,2010-03-06,0.04001554888918046,0.06922107014077866,4438 days,False,bonds
LU0970691233 - iMGP US Core Plus I M USD,2022-04-30,2010-03-06,0.012977655157794477,0.03577194649379299,4438 days,False,bonds
LU0418546858 - iMGP Global Convertibles C EUR,2022-04-30,2010-03-06,0.01687908085241463,0.06763879160419066,4438 days,False,bonds
LU0933609405 - iMGP US Small&Mid Company Gr I USD,2022-04-30,2010-03-06,0.04753127384435074,0.20914368273588158,4438 days,False,equity
LU0821216842 - iMGP US Value R USD,2022-04-30,2010-03-06,0.0603363354948907,0.13967772780870905,4438 days,False,equity
LU0933611138 - iMGP Mlt-Asst Abs Ret EUR I EUR,2022-04-30,2010-03-06,0.004498167533559139,0.036781636060508084,4438 days,False,mixed
LU1726319590 - iMGP Stable Return I USD,2022-04-30,2010-03-06,0.007058573244264066,0.05860216867964061,4438 days,False,alternative
LU0536296873 - iMGP Italian Opportunities I EUR,2022-04-30,2010-03-06,0.049013890801605564,0.20592397663014067,4438 days,False,equity
LU0995828042 - iMGP Europe I EUR,2022-04-30,2010-03-06,0.014479743730402284,0.166078625674909,4438 days,False,equity
LU0933606302 - iMGP Sustainable Europe I EUR,2022-04-30,2010-03-06,0.04571562184864009,0.1682842147136961,4438 days,True,equity
LU2041049300 - iMGP BM Alternativos I EUR,2022-04-30,2010-03-06,0.005388003083043769,0.04418679238918893,4438 days,False,fund_of_funds
LU1457568043 - iMGP Eurp Subordinated Bds I EUR,2022-04-30,2010-03-06,0.012280389310233897,0.07426079140460555,4438 days,False,bonds
LU0933609314 - iMGP Japan Opportunities I JPY,2022-04-30,2010-03-06,0.024232140530939583,0.19407889498332467,4438 days,False,equity
LU1130232017 - iMGP Absolute Return GBP I M GBP,2022-04-30,2010-03-06,0.026933224154517932,0.028549721897082665,4438 days,False,mixed
LU0335769435 - iMGP Global Diversified Inc I EUR HP,2022-04-30,2010-03-06,0.03273562364440874,0.07040943953469884,4438 days,False,mixed
LU0167813129 - iMGP European Corporate Bds C EUR,2022-04-30,2010-03-06,0.022899281284027184,0.0425250053220419,4438 days,False,bonds
LU0167813129 - iMGP European Corporate Bds C EUR,2022-04-30,2010-03-13,0.0225464587077171,0.0425415069939545,4431 days,False,bonds
LU0821216842 - iMGP US Value R USD,2022-04-30,2010-03-13,0.06043432271833704,0.13967772780870905,4431 days,False,equity
LU0418546858 - iMGP Global Convertibles C EUR,2022-04-30,2010-03-13,0.015634084732358167,0.0675552837655844,4431 days,False,bonds
LU0335769435 - iMGP Global Diversified Inc I EUR HP,2022-04-30,2010-03-13,0.03143275691000347,0.07032527131586272,4431 days,False,mixed
LU0933609314 - iMGP Japan Opportunities I JPY,2022-04-30,2010-03-13,0.024270821696141143,0.19407889498332467,4431 days,False,equity
LU1726319590 - iMGP Stable Return I USD,2022-04-30,2010-03-13,0.007069745903345526,0.05860216867964061,4431 days,False,alternative
LU0933606302 - iMGP Sustainable Europe I EUR,2022-04-30,2010-03-13,0.04578935475004986,0.1682842147136961,4431 days,True,equity
LU0933609405 - iMGP US Small&Mid Company Gr I USD,2022-04-30,2010-03-13,0.047608001261675525,0.20914368273588158,4431 days,False,equity
LU0933611138 - iMGP Mlt-Asst Abs Ret EUR I EUR,2022-04-30,2010-03-13,0.004505278393355905,0.036781636060508084,4431 days,False,mixed
LU0335770102 - iMGP Euro Fixed Income I EUR,2022-04-30,2010-03-13,0.027674057820243902,0.03402988253308781,4431 days,False,bonds
LU0995828042 - iMGP Europe I EUR,2022-04-30,2010-03-13,0.014502747260719984,0.166078625674909,4431 days,False,equity
LU2041049300 - iMGP BM Alternativos I EUR,2022-04-30,2010-03-13,0.005396524400499647,0.04418679238918893,4431 days,False,fund_of_funds
LU1130232017 - iMGP Absolute Return GBP I M GBP,2022-04-30,2010-03-13,0.02646330904818628,0.028527256819141318,4431 days,False,mixed
LU1457568043 - iMGP Eurp Subordinated Bds I EUR,2022-04-30,2010-03-13,0.01229987764689322,0.07426079140460555,4431 days,False,bonds
LU0536296873 - iMGP Italian Opportunities I EUR,2022-04-30,2010-03-13,0.04909306715529782,0.20592397663014067,4431 days,False,equity
LU0688633840 - iMGP US High Yield I USD,2022-04-30,2010-03-13,0.040079913184445815,0.06922107014077866,4431 days,False,bonds
LU0970691233 - iMGP US Core Plus I M USD,2022-04-30,2010-03-13,0.01299825710702196,0.03577194649379299,4431 days,False,bonds
LU0933609405 - iMGP US Small&Mid Company Gr I USD,2022-04-30,2010-03-20,0.04768497675033512,0.20914368273588158,4424 days,False,equity
LU0167813129 - iMGP European Corporate Bds C EUR,2022-04-30,2010-03-20,0.022282846153783842,0.04256564553222007,4424 days,False,bonds
LU2041049300 - iMGP BM Alternativos I EUR,2022-04-30,2010-03-20,0.0054050727141155,0.04418679238918893,4424 days,False,fund_of_funds
LU0688633840 - iMGP US High Yield I USD,2022-04-30,2010-03-20,0.04014448484467814,0.06922107014077866,4424 days,False,bonds
LU0995828042 - iMGP Europe I EUR,2022-04-30,2010-03-20,0.01452582399610236,0.166078625674909,4424 days,False,equity
LU0933609314 - iMGP Japan Opportunities I JPY,2022-04-30,2010-03-20,0.024309626544478657,0.19407889498332467,4424 days,False,equity
LU0335770102 - iMGP Euro Fixed Income I EUR,2022-04-30,2010-03-20,0.027665843994987505,0.034056742799820135,4424 days,False,bonds
LU1130232017 - iMGP Absolute Return GBP I M GBP,2022-04-30,2010-03-20,0.0262694003789532,0.028542185527566794,4424 days,False,mixed
LU0536296873 - iMGP Italian Opportunities I EUR,2022-04-30,2010-03-20,0.049172499675586234,0.20592397663014067,4424 days,False,equity
LU0970691233 - iMGP US Core Plus I M USD,2022-04-30,2010-03-20,0.013018924570286527,0.03577194649379299,4424 days,False,bonds
LU1457568043 - iMGP Eurp Subordinated Bds I EUR,2022-04-30,2010-03-20,0.012319427935043814,0.07426079140460555,4424 days,False,bonds
LU0418546858 - iMGP Global Convertibles C EUR,2022-04-30,2010-03-20,0.01479193053921124,0.06754642623851786,4424 days,False,bonds
LU1726319590 - iMGP Stable Return I USD,2022-04-30,2010-03-20,0.0070809539876288685,0.05860216867964061,4424 days,False,alternative
LU0933611138 - iMGP Mlt-Asst Abs Ret EUR I EUR,2022-04-30,2010-03-20,0.004512411770901226,0.036781636060508084,4424 days,False,mixed
LU0933606302 - iMGP Sustainable Europe I EUR,2022-04-30,2010-03-20,0.045863325838349844,0.1682842147136961,4424 days,True,equity
LU0335769435 - iMGP Global Diversified Inc I EUR HP,2022-04-30,2010-03-20,0.031075852546929905,0.07037060137958112,4424 days,False,mixed
LU0821216842 - iMGP US Value R USD,2022-04-30,2010-03-20,0.060532628636169594,0.13967772780870905,4424 days,False,equity
LU0995828042 - iMGP Europe I EUR,2022-04-30,2010-03-27,0.01454897428654589,0.166078625674909,4417 days,False,equity
